runId	mainClass	args	outputDir	dependsOn	block	action	experiment	taskSetId	size	machines	setupType	scaleLevel	nominalScale	windowLevel	algorithm	outsourcingModel	outsourcingRate	discountLevel
seed-n050-set01-m2-family-base-n1-wwide-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m2-family-base-n1-wwide-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set01/family/base/wide/m2.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set01-m2-family-base-n1-wwide-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set01-m2-family-base-n1-wwide-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set01-m2-family-base-n1-wwide-or1-dnone		seed	seed	outsourcing-discount	n050-set01	50	2	family	base	1	wide			1	none
outsourcing-discount-n050-set01-m2-family-base-n1-wwide-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set01-m2-family-base-n1-wwide-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set01/family/base/wide/m2.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set01-m2-family-base-n1-wwide-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set01-m2-family-base-n1-wwide-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set01-m2-family-base-n1-wwide-or1-dnone-masterVariables	seed-n050-set01-m2-family-base-n1-wwide-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set01	50	2	family	base	1	wide	NG_DSSR	masterVariables	1	none
seed-n050-set01-m3-family-base-n1-wwide-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m3-family-base-n1-wwide-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set01/family/base/wide/m3.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set01-m3-family-base-n1-wwide-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set01-m3-family-base-n1-wwide-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set01-m3-family-base-n1-wwide-or1-dnone		seed	seed	outsourcing-discount	n050-set01	50	3	family	base	1	wide			1	none
outsourcing-discount-n050-set01-m3-family-base-n1-wwide-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set01-m3-family-base-n1-wwide-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set01/family/base/wide/m3.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set01-m3-family-base-n1-wwide-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set01-m3-family-base-n1-wwide-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set01-m3-family-base-n1-wwide-or1-dnone-masterVariables	seed-n050-set01-m3-family-base-n1-wwide-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set01	50	3	family	base	1	wide	NG_DSSR	masterVariables	1	none
seed-n050-set01-m4-family-base-n1-wwide-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set01-m4-family-base-n1-wwide-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set01/family/base/wide/m4.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set01-m4-family-base-n1-wwide-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set01-m4-family-base-n1-wwide-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set01-m4-family-base-n1-wwide-or1-dnone		seed	seed	outsourcing-discount	n050-set01	50	4	family	base	1	wide			1	none
outsourcing-discount-n050-set01-m4-family-base-n1-wwide-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set01-m4-family-base-n1-wwide-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set01/family/base/wide/m4.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set01-m4-family-base-n1-wwide-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set01-m4-family-base-n1-wwide-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set01-m4-family-base-n1-wwide-or1-dnone-masterVariables	seed-n050-set01-m4-family-base-n1-wwide-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set01	50	4	family	base	1	wide	NG_DSSR	masterVariables	1	none
seed-n050-set02-m2-random-base-n1-wzero-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m2-random-base-n1-wzero-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/zero/m2.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-random-base-n1-wzero-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-random-base-n1-wzero-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-random-base-n1-wzero-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	2	random	base	1	zero			1	none
outsourcing-discount-n050-set02-m2-random-base-n1-wzero-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m2-random-base-n1-wzero-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/zero/m2.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m2-random-base-n1-wzero-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-random-base-n1-wzero-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m2-random-base-n1-wzero-or1-dnone-masterVariables	seed-n050-set02-m2-random-base-n1-wzero-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	2	random	base	1	zero	NG_DSSR	masterVariables	1	none
seed-n050-set02-m3-random-base-n1-wzero-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m3-random-base-n1-wzero-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/zero/m3.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m3-random-base-n1-wzero-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m3-random-base-n1-wzero-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m3-random-base-n1-wzero-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	3	random	base	1	zero			1	none
outsourcing-discount-n050-set02-m3-random-base-n1-wzero-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m3-random-base-n1-wzero-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/zero/m3.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m3-random-base-n1-wzero-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m3-random-base-n1-wzero-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m3-random-base-n1-wzero-or1-dnone-masterVariables	seed-n050-set02-m3-random-base-n1-wzero-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	3	random	base	1	zero	NG_DSSR	masterVariables	1	none
seed-n050-set02-m4-random-base-n1-wzero-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m4-random-base-n1-wzero-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/zero/m4.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m4-random-base-n1-wzero-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m4-random-base-n1-wzero-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m4-random-base-n1-wzero-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	4	random	base	1	zero			1	none
outsourcing-discount-n050-set02-m4-random-base-n1-wzero-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m4-random-base-n1-wzero-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/zero/m4.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m4-random-base-n1-wzero-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m4-random-base-n1-wzero-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m4-random-base-n1-wzero-or1-dnone-masterVariables	seed-n050-set02-m4-random-base-n1-wzero-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	4	random	base	1	zero	NG_DSSR	masterVariables	1	none
seed-n050-set02-m2-random-base-n1-wnarrow-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m2-random-base-n1-wnarrow-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/narrow/m2.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-random-base-n1-wnarrow-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-random-base-n1-wnarrow-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-random-base-n1-wnarrow-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	2	random	base	1	narrow			1	none
outsourcing-discount-n050-set02-m2-random-base-n1-wnarrow-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m2-random-base-n1-wnarrow-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/narrow/m2.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m2-random-base-n1-wnarrow-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-random-base-n1-wnarrow-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m2-random-base-n1-wnarrow-or1-dnone-masterVariables	seed-n050-set02-m2-random-base-n1-wnarrow-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	2	random	base	1	narrow	NG_DSSR	masterVariables	1	none
seed-n050-set02-m3-random-base-n1-wnarrow-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m3-random-base-n1-wnarrow-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/narrow/m3.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m3-random-base-n1-wnarrow-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m3-random-base-n1-wnarrow-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m3-random-base-n1-wnarrow-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	3	random	base	1	narrow			1	none
outsourcing-discount-n050-set02-m3-random-base-n1-wnarrow-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m3-random-base-n1-wnarrow-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/narrow/m3.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m3-random-base-n1-wnarrow-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m3-random-base-n1-wnarrow-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m3-random-base-n1-wnarrow-or1-dnone-masterVariables	seed-n050-set02-m3-random-base-n1-wnarrow-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	3	random	base	1	narrow	NG_DSSR	masterVariables	1	none
seed-n050-set02-m4-random-base-n1-wnarrow-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m4-random-base-n1-wnarrow-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/narrow/m4.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m4-random-base-n1-wnarrow-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m4-random-base-n1-wnarrow-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m4-random-base-n1-wnarrow-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	4	random	base	1	narrow			1	none
outsourcing-discount-n050-set02-m4-random-base-n1-wnarrow-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m4-random-base-n1-wnarrow-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/narrow/m4.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m4-random-base-n1-wnarrow-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m4-random-base-n1-wnarrow-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m4-random-base-n1-wnarrow-or1-dnone-masterVariables	seed-n050-set02-m4-random-base-n1-wnarrow-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	4	random	base	1	narrow	NG_DSSR	masterVariables	1	none
seed-n050-set02-m2-random-base-n1-wwide-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m2-random-base-n1-wwide-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/wide/m2.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-random-base-n1-wwide-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-random-base-n1-wwide-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-random-base-n1-wwide-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	2	random	base	1	wide			1	none
outsourcing-discount-n050-set02-m2-random-base-n1-wwide-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m2-random-base-n1-wwide-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/wide/m2.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m2-random-base-n1-wwide-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-random-base-n1-wwide-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m2-random-base-n1-wwide-or1-dnone-masterVariables	seed-n050-set02-m2-random-base-n1-wwide-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	2	random	base	1	wide	NG_DSSR	masterVariables	1	none
seed-n050-set02-m3-random-base-n1-wwide-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m3-random-base-n1-wwide-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/wide/m3.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m3-random-base-n1-wwide-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m3-random-base-n1-wwide-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m3-random-base-n1-wwide-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	3	random	base	1	wide			1	none
outsourcing-discount-n050-set02-m3-random-base-n1-wwide-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m3-random-base-n1-wwide-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/wide/m3.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m3-random-base-n1-wwide-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m3-random-base-n1-wwide-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m3-random-base-n1-wwide-or1-dnone-masterVariables	seed-n050-set02-m3-random-base-n1-wwide-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	3	random	base	1	wide	NG_DSSR	masterVariables	1	none
seed-n050-set02-m4-random-base-n1-wwide-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m4-random-base-n1-wwide-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/wide/m4.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m4-random-base-n1-wwide-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m4-random-base-n1-wwide-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m4-random-base-n1-wwide-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	4	random	base	1	wide			1	none
outsourcing-discount-n050-set02-m4-random-base-n1-wwide-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m4-random-base-n1-wwide-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/random/base/wide/m4.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m4-random-base-n1-wwide-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m4-random-base-n1-wwide-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m4-random-base-n1-wwide-or1-dnone-masterVariables	seed-n050-set02-m4-random-base-n1-wwide-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	4	random	base	1	wide	NG_DSSR	masterVariables	1	none
seed-n050-set02-m2-family-base-n1-wzero-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m2-family-base-n1-wzero-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/family/base/zero/m2.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-family-base-n1-wzero-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-family-base-n1-wzero-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-family-base-n1-wzero-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	2	family	base	1	zero			1	none
outsourcing-discount-n050-set02-m2-family-base-n1-wzero-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m2-family-base-n1-wzero-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/family/base/zero/m2.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m2-family-base-n1-wzero-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-family-base-n1-wzero-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m2-family-base-n1-wzero-or1-dnone-masterVariables	seed-n050-set02-m2-family-base-n1-wzero-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	2	family	base	1	zero	NG_DSSR	masterVariables	1	none
seed-n050-set02-m3-family-base-n1-wzero-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m3-family-base-n1-wzero-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/family/base/zero/m3.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m3-family-base-n1-wzero-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m3-family-base-n1-wzero-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m3-family-base-n1-wzero-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	3	family	base	1	zero			1	none
outsourcing-discount-n050-set02-m3-family-base-n1-wzero-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m3-family-base-n1-wzero-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/family/base/zero/m3.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m3-family-base-n1-wzero-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m3-family-base-n1-wzero-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m3-family-base-n1-wzero-or1-dnone-masterVariables	seed-n050-set02-m3-family-base-n1-wzero-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	3	family	base	1	zero	NG_DSSR	masterVariables	1	none
seed-n050-set02-m4-family-base-n1-wzero-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m4-family-base-n1-wzero-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/family/base/zero/m4.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m4-family-base-n1-wzero-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m4-family-base-n1-wzero-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m4-family-base-n1-wzero-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	4	family	base	1	zero			1	none
outsourcing-discount-n050-set02-m4-family-base-n1-wzero-or1-dnone-masterVariables	Common.formal.FormalExperimentRunner	--action="solve" --runId="outsourcing-discount-n050-set02-m4-family-base-n1-wzero-or1-dnone-masterVariables" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/family/base/zero/m4.dat" --algorithm="NG_DSSR" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m4-family-base-n1-wzero-or1-dnone-masterVariables" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m4-family-base-n1-wzero-or1-dnone.seed" --timeLimitSeconds="10800" --maxNodes="100000" --outsourcingModel="masterVariables"	${WORKSPACE}/experiment-suite/formal/runs/outsourcing-discount/outsourcing-discount-n050-set02-m4-family-base-n1-wzero-or1-dnone-masterVariables	seed-n050-set02-m4-family-base-n1-wzero-or1-dnone	outsourcing-discount	solve	outsourcing-discount	n050-set02	50	4	family	base	1	zero	NG_DSSR	masterVariables	1	none
seed-n050-set02-m2-family-base-n1-wnarrow-or1-dnone	Common.formal.FormalExperimentRunner	--action="seed" --runId="seed-n050-set02-m2-family-base-n1-wnarrow-or1-dnone" --instance="${WORKSPACE}/experiment-suite/formal/instances/outsourcing-data/no-discount/rate-1/n050-set02/family/base/narrow/m2.dat" --seedFile="${WORKSPACE}/experiment-suite/formal/seeds/n050-set02-m2-family-base-n1-wnarrow-or1-dnone.seed" --outputDir="${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-family-base-n1-wnarrow-or1-dnone"	${WORKSPACE}/experiment-suite/formal/runs/seed-n050-set02-m2-family-base-n1-wnarrow-or1-dnone		seed	seed	outsourcing-discount	n050-set02	50	2	family	base	1	narrow			1	none
