taskSetId	scaleLevel	nominalMultiplier	processingSeed	centerSeed	processingArithmeticMean	centerArithmeticMean	processingWeightedMean	processingMinimum	processingMaximum	centerMinimum	centerMaximum	processingMultipliers	centerMultipliers	processingFingerprint	centerFingerprint
n080-set03	medium	10	60360314410325	60359252908841	9.862500000	10.562500000	9.751876173	5	15	5	15	11,13,11,5,14,8,8,11,5,11,12,10,8,12,7,15,11,8,12,8,14,11,6,12,14,12,15,8,14,5,12,10,6,7,15,7,14,7,14,11,8,6,11,9,6,14,11,6,10,13,8,7,15,6,5,5,6,14,15,8,8,13,11,6,13,14,13,13,8,6,6,6,5,14,6,10,5,10,12,13	9,13,12,8,10,12,12,8,10,6,13,5,8,15,12,15,11,12,8,11,8,5,9,9,7,15,9,12,11,7,14,15,15,12,9,8,14,8,14,6,7,8,15,14,14,11,12,12,11,9,14,8,15,13,14,5,9,8,14,13,5,13,9,8,10,12,5,12,9,13,7,6,14,12,12,13,14,6,13,9	e92efa738ffb6909dffdad8f3601162f61b843c10a66bcda7d9e675ce5b7def5	12f1f9e90c1ec98a2b9b653644565d0b2041d774eba8f8d7da926133fe364705
n080-set03	high	20	60360230787156	60359203363368	19.937500000	20.450000000	19.931050657	15	25	15	25	19,22,15,16,22,25,19,25,15,19,19,24,16,23,17,15,15,23,16,23,24,18,17,23,24,22,15,22,21,25,19,18,23,25,25,18,16,21,18,17,19,19,19,23,20,18,21,15,25,24,20,16,19,24,25,25,21,16,21,20,17,19,17,20,17,16,25,23,21,25,15,24,16,18,19,15,20,22,15,22	22,20,23,22,25,19,18,19,15,24,23,21,15,24,25,15,23,15,24,19,15,18,18,22,21,21,23,16,22,18,25,20,19,17,25,17,17,16,23,22,23,23,25,15,19,21,23,19,16,24,20,18,24,15,17,23,25,16,22,19,24,19,23,21,18,24,25,17,16,22,22,17,20,19,25,20,16,25,25,25	85d57fc3d67e29d6e9e6584a7ba1e631c4d159d6cbafbcd76b8013b63c081d26	69f58dc115f17f8caf773fd230537fd4e0dba3200cd2e94779552546a9cb919a
n080-set04	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e
n080-set04	medium	10	60360314410356	60359252908872	9.987500000	10.125000000	9.935822352	5	15	5	15	9,14,7,5,5,9,10,11,9,5,12,8,15,15,9,7,7,10,15,13,10,14,5,7,15,15,6,12,5,5,7,11,8,15,6,8,9,6,13,5,12,14,6,11,13,12,15,10,13,9,15,9,9,5,12,12,12,10,14,6,9,10,13,6,12,13,7,14,11,15,12,12,9,8,8,5,6,7,15,11	7,14,10,9,11,14,15,8,13,11,13,13,14,7,14,7,7,13,11,14,14,9,8,6,6,7,10,5,13,9,9,5,15,10,13,9,10,6,5,11,9,15,10,14,10,10,6,8,12,7,10,10,10,10,11,15,5,13,13,11,7,10,9,7,9,11,9,13,12,11,13,11,7,6,13,8,14,14,5,7	6bb10a42c09e0bff273bffe99ccc3e56d705d064c262302a237748c6da23d39d	2bf3ef465351a9bbc5467d77ad02a8ddfd2ee06aaeebca05c88100ad0ae86637
n080-set04	high	20	60360230787187	60359203363399	19.937500000	19.337500000	20.022205954	15	25	15	25	21,18,24,16,20,21,23,18,22,22,24,18,23,16,21,17,22,19,17,17,16,17,24,17,19,19,17,25,18,21,22,18,22,24,15,17,20,22,17,22,18,19,25,15,22,20,21,24,23,16,18,23,18,24,20,21,16,23,18,17,22,24,22,15,17,25,15,21,16,21,22,24,17,18,22,25,21,23,17,16	24,15,19,20,22,16,25,23,23,16,16,17,20,18,19,17,20,23,23,15,18,15,25,16,15,19,15,19,21,15,18,19,18,16,23,16,21,15,23,18,21,25,18,18,21,21,25,16,24,17,18,17,23,24,23,19,20,24,19,25,19,24,17,16,18,22,25,15,21,17,19,16,22,19,17,19,15,15,16,21	d81c9632418671ec99a6b1ed6df46593e3698cba7034da7c149696e6d45855ae	7682546b6c0b9de312c27ad63850021a18f6264a82c1a046eef4711fe2b69842
n080-set05	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e	1d022e0936dc4003cbd8aa274457de0fb556bfb9b691ac5759ccfe411872fc5e
n080-set05	medium	10	60360314410387	60359252908903	9.612500000	9.450000000	9.624761905	5	15	5	15	12,13,10,8,6,9,11,13,6,5,13,7,7,5,5,10,6,10,13,5,14,11,7,5,10,14,12,11,9,8,10,15,13,12,9,9,7,5,6,15,7,8,7,15,12,5,10,7,8,12,10,11,9,8,7,15,13,13,9,5,9,15,14,12,13,5,11,10,5,14,15,6,7,9,7,12,14,5,5,14	9,8,8,7,8,10,11,12,10,14,8,9,10,11,8,9,15,9,10,9,6,5,14,11,11,5,12,8,12,5,13,6,14,11,11,10,14,15,5,5,8,6,5,8,12,9,6,5,10,11,7,8,8,10,5,11,12,9,10,8,10,15,14,13,9,11,10,11,9,5,8,11,8,7,5,7,13,15,7,12	478cd75a437a4b12a0406ba0d0e0476c20e545c21fbfe6d19dedecaad48ebe1f	8ef6942f82b7901688fea79ffeea56ec700d5274b3f0261b3fbf95a23cc3582f
n080-set05	high	20	60360230787218	60359203363430	19.700000000	19.887500000	19.687857143	15	25	15	25	20,24,16,19,25,15,19,25,25,24,20,20,15,18,15,22,23,24,18,18,23,18,18,17,23,15,22,25,25,17,18,23,19,18,21,20,23,20,21,20,17,19,16,18,17,21,18,19,24,23,23,18,25,15,17,22,19,15,15,19,19,21,20,15,17,17,21,19,17,23,15,24,18,24,20,17,18,17,20,23	22,25,17,20,15,17,25,23,16,21,18,25,15,21,21,21,16,15,17,18,25,19,15,23,16,22,16,23,23,17,24,22,20,25,16,18,16,25,24,23,23,22,24,20,18,19,16,22,15,23,23,19,15,21,19,16,16,18,18,15,20,22,18,17,17,23,18,16,25,25,23,24,25,15,18,25,17,22,19,20	3df84353921e418a55feae952a8051840dceca12f4e7afad4401241381086502	eb8666ff519e99cf7eaa4214682e0145d5a4d4951904e0a4be26a34924840152
n100-set01	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d
n100-set01	medium	10	60360314429483	60359252927999	10.140000000	10.400000000	10.054891304	5	15	5	15	6,15,6,9,14,12,5,8,9,13,5,15,14,8,13,15,12,9,7,13,8,15,13,12,10,15,14,14,8,12,10,7,13,11,7,7,12,13,7,13,7,14,7,13,10,11,5,11,15,5,7,9,6,6,9,15,15,15,5,14,15,6,15,8,11,10,12,15,10,5,6,10,11,5,10,9,15,8,6,13,9,12,15,8,5,7,15,8,7,12,12,9,11,8,5,12,9,8,8,6	5,10,9,11,12,15,7,8,9,9,8,13,11,14,6,15,7,12,14,10,14,11,11,8,15,15,14,8,12,6,12,15,7,13,15,12,11,13,15,13,5,8,12,10,15,12,12,13,14,6,15,10,11,12,9,6,5,8,8,10,10,7,9,8,6,5,13,10,10,15,14,10,6,8,9,13,14,7,10,10,13,8,10,15,10,8,9,5,7,15,13,13,5,8,13,5,6,10,13,14	650cff46bdcd33a15b7d0828644b5838ef7c1ce2701356fc18ead38bcaf1bdc3	ce2da3481fc91b6e623e83f9601445468a60297036789299a5402d0eb4daeea8
n100-set01	high	20	60360230806314	60359203382526	20.020000000	20.230000000	19.942210145	15	25	15	25	24,21,15,20,20,22,20,25,18,24,17,25,16,21,19,18,16,23,25,20,25,15,16,20,22,23,20,20,16,22,21,15,23,25,19,23,24,15,21,16,16,16,18,17,25,19,20,17,16,19,25,17,17,16,21,25,21,19,21,19,24,16,15,25,23,20,21,15,17,23,24,19,24,17,18,21,17,21,17,21,16,20,17,25,23,19,22,24,22,17,23,23,25,19,15,15,24,18,25,18	20,17,20,25,17,22,24,20,16,16,16,18,18,25,21,16,19,17,21,19,20,23,21,21,18,20,18,24,22,17,23,20,21,16,17,22,24,21,24,21,22,24,22,25,18,22,22,21,19,20,21,20,20,25,23,24,21,17,16,16,18,15,22,22,25,17,22,25,16,23,20,23,23,16,22,20,17,15,22,18,18,22,18,20,19,25,18,18,19,23,25,21,21,23,19,23,16,15,16,25	41b62129a01844dc099c20bc1b0b5b65ca1f44bca41a5147654a110ca81e8f27	aac0ce90591ace870a26e5643b133b3f0792e94fb1cc8e720d6c81c52e5e9d55
n100-set02	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d
n100-set02	medium	10	60360314429514	60359252928030	9.770000000	9.720000000	9.495040061	5	15	5	15	15,14,15,9,5,11,5,8,14,9,5,12,9,10,6,8,8,13,10,7,15,9,12,7,9,9,5,7,12,14,5,8,15,7,11,9,7,10,8,7,9,11,13,15,6,10,7,6,5,13,12,11,9,14,5,12,11,10,15,13,6,14,6,9,10,9,6,5,13,13,10,7,14,12,13,15,5,5,9,12,13,13,14,7,5,13,5,6,15,7,15,12,5,11,8,11,13,6,11,8	11,7,11,15,5,5,5,9,15,11,6,10,13,10,13,14,15,6,11,8,5,7,14,15,6,14,6,14,13,5,6,9,9,9,9,11,8,10,9,7,5,5,8,9,8,14,14,10,11,8,5,11,6,11,13,13,5,14,10,13,14,9,7,10,10,7,8,15,9,12,5,15,7,13,12,15,11,12,5,9,11,5,12,6,13,6,5,14,12,13,6,7,14,8,11,8,11,6,10,10	f26163df1f3928cfb7da62df0a1ab04607f846284065425ac236b21483337ab0	efb3f2e42c13bf9254c433246a3606e1ab6f40ab141afc688b5c79ff6ac73a7b
n100-set02	high	20	60360230806345	60359203382557	20.090000000	19.470000000	20.337085082	15	25	15	25	18,15,24,23,16,24,16,21,18,20,25,24,23,24,20,15,22,20,23,21,24,23,19,20,16,23,20,15,23,15,17,18,17,18,24,18,23,23,24,21,21,20,25,19,16,16,15,21,23,19,19,24,15,21,19,24,19,24,22,21,22,19,25,23,19,24,25,20,15,16,16,24,19,18,20,21,20,18,19,15,19,20,19,20,21,23,18,17,24,22,19,15,25,21,21,18,19,16,22,16	16,19,24,19,17,18,15,21,15,20,20,22,21,15,24,16,17,17,16,19,21,19,21,24,15,19,20,16,23,15,21,17,21,19,16,17,19,15,18,17,24,23,16,15,19,22,21,24,23,19,23,21,21,23,21,15,24,20,17,20,24,15,19,18,25,23,19,16,24,18,20,21,15,15,21,19,17,20,24,19,19,20,16,23,25,15,21,24,18,16,18,15,24,21,15,20,25,18,23,24	8e733ae3b3d23318ab1713332b129f866767cc52f8eadcb6367487863be95b39	733ad82f3654ca22adabf1269a888d9efcebf6e4595e0884ce35a2b64bade8ae
n100-set03	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d
n100-set03	medium	10	60360314429545	60359252928061	10.300000000	10.210000000	10.233244983	5	15	5	15	10,10,13,11,12,15,14,14,14,15,10,13,13,14,7,5,12,10,6,8,5,6,15,5,14,9,5,13,8,7,14,11,6,13,6,13,6,6,10,13,14,7,11,15,8,6,12,10,12,12,6,7,8,10,15,12,9,15,7,15,14,15,5,5,8,13,10,10,12,6,13,11,11,10,14,15,8,13,11,6,5,13,5,14,15,6,13,10,6,12,11,15,6,13,14,12,9,5,8,6	5,14,10,6,12,9,14,5,15,9,12,9,8,14,15,11,8,12,7,9,6,15,8,13,12,13,6,9,9,10,15,13,13,15,14,14,7,6,12,11,10,10,6,8,10,10,7,14,7,9,8,8,5,6,13,12,12,7,13,15,12,12,6,6,7,8,12,9,7,15,9,8,13,11,14,15,14,6,7,14,14,6,14,12,13,10,13,9,13,7,13,10,15,10,6,9,6,5,8,8	b16a1a3a1cba0ca15337456328dae7191f7e88f945b7959a68a0982ef92ef321	91e1b6dee84b3ad15b269dbb2779b71d0c5b472c00baa9200860bfd92bdb9c99
n100-set03	high	20	60360230806376	60359203382588	19.820000000	19.980000000	20.012684589	15	25	15	25	16,16,20,23,18,25,18,20,23,16,25,23,17,16,24,18,18,24,15,15,21,25,18,15,15,15,21,19,15,17,23,20,19,16,17,19,18,20,23,16,23,19,23,19,23,25,17,16,24,15,24,15,18,20,16,23,15,19,23,19,23,16,24,25,18,23,19,21,18,25,20,20,23,23,22,16,20,15,22,25,22,23,16,22,22,18,18,24,21,17,23,17,20,24,22,16,23,15,25,18	25,20,22,21,18,17,16,23,18,25,20,19,16,17,15,20,24,18,19,21,17,21,20,19,25,24,23,20,16,18,16,18,23,15,18,18,15,24,17,23,25,20,22,17,15,21,23,19,24,25,19,23,24,20,18,25,20,15,16,20,25,24,19,20,22,24,21,17,25,16,24,16,19,20,23,25,20,19,16,18,23,23,24,22,25,20,20,21,15,23,21,18,21,15,15,17,20,17,15,15	e26f5734a3cdce6eded2ec908a9f0a2e1b57ba277bd9757fc4ab33e3f09bcd04	40ee1a7c25f74dd830a6bd9e69f9d56277104fbd8cb13f45e81fd3f895cd778c
n100-set04	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d
n100-set04	medium	10	60360314429576	60359252928092	9.690000000	9.880000000	9.828143477	5	15	5	15	9,15,6,14,8,9,10,11,5,7,8,13,8,15,12,10,13,14,8,10,12,7,11,5,5,13,10,13,15,12,9,6,14,6,12,5,9,15,13,11,14,7,15,7,12,7,8,5,11,7,10,13,13,9,11,13,10,7,15,6,13,12,14,5,7,5,5,8,12,8,5,11,12,5,12,8,7,9,14,11,5,13,11,11,12,9,7,7,12,5,11,10,5,14,5,7,7,10,8,9	14,5,8,6,14,8,6,5,9,13,14,6,14,5,6,6,15,5,10,12,13,7,7,11,13,7,7,13,11,12,10,5,13,11,7,7,13,15,12,5,12,9,13,10,6,9,12,9,9,15,15,12,8,14,10,10,10,14,12,13,13,9,7,8,5,9,15,10,8,13,13,5,6,7,5,10,6,5,10,13,15,7,11,14,14,5,12,5,11,13,5,14,9,13,7,8,10,14,12,10	24a5951a1fbf08e1323708852bff213c1adb3a7dc1fdf95c392516e2df41df67	b916429de5d7b368470576e866c462324d7272cf7e402b290212858ad3914691
n100-set04	high	20	60360230806407	60359203382619	20.640000000	20.290000000	20.407173827	15	25	15	25	19,17,23,24,20,25,18,21,17,25,15,22,22,18,17,21,19,22,24,18,25,23,20,23,24,24,16,17,17,19,17,23,24,24,20,20,16,19,16,24,18,23,22,25,22,18,23,24,19,18,22,18,21,23,21,23,16,24,15,18,23,19,25,18,21,25,23,16,22,23,25,23,21,24,19,15,18,24,24,16,25,25,18,21,21,25,17,23,25,22,18,20,15,15,19,18,21,24,20,17	16,24,18,19,17,15,23,16,15,17,25,24,21,22,19,20,21,25,18,17,20,20,15,25,20,22,23,23,24,25,20,17,22,16,19,17,17,25,17,18,24,22,17,20,17,20,25,17,22,20,17,21,23,20,23,21,15,22,24,15,17,18,24,25,23,22,24,24,21,21,21,16,20,21,15,24,18,18,17,23,25,15,19,16,19,19,24,19,21,17,23,20,22,19,23,24,24,19,23,24	3276ff80b380240d225497c358df089da6258bdb42a27e14b5b3db95ee0ea797	85c458bc47bfa11ba7734decf78151b073ab7dd94dcd1d3128a507268eaa8a88
n100-set05	base	1	0	0	1.000000000	1.000000000	1.000000000	1	1	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d	bf76e3337486e99a7291f18c55774a9eaf9cffbe1ba2c8479a89f2f4afef264d
n100-set05	medium	10	60360314429607	60359252928123	9.910000000	9.440000000	10.120065490	5	15	5	15	11,10,13,12,5,5,6,15,13,10,12,9,13,7,15,11,10,10,7,14,15,6,6,10,11,11,12,5,12,10,15,5,13,7,13,15,13,5,13,5,13,9,8,12,14,8,10,13,9,11,8,11,13,10,6,9,5,15,12,14,5,6,5,11,8,14,8,6,7,13,10,11,11,6,15,7,6,8,5,7,9,8,15,15,15,8,11,6,7,12,11,11,6,8,12,13,11,11,6,7	5,9,14,6,12,7,10,9,6,5,6,13,8,8,9,5,11,12,9,7,5,5,14,14,7,15,9,5,10,10,13,15,12,12,8,6,6,13,13,12,11,9,7,13,8,11,12,6,6,10,13,9,9,15,13,7,5,10,9,10,7,13,10,13,5,7,6,6,5,7,8,14,7,7,8,11,15,15,14,7,9,12,6,6,7,15,5,15,6,7,5,15,10,9,14,14,14,6,9,7	754a1e1d7a25330776db49b1f8910bdb9aa151bb6c5335765736561f828e9265	cbdfcb37a73fb7bf448d09f2d34c8f5c27ca4731fa82d4f03f5f955d30bb8587
n100-set05	high	20	60360230806438	60359203382650	20.000000000	19.940000000	20.024740768	15	25	15	25	17,16,22,24,21,15,21,21,21,21,15,20,16,20,21,25,24,23,16,21,21,25,19,20,23,18,18,22,19,21,24,25,15,20,22,21,23,17,15,18,22,22,19,25,18,17,25,19,21,25,16,20,15,20,18,22,25,18,16,18,25,18,16,19,20,15,25,17,25,21,18,20,25,18,23,20,18,23,16,15,15,15,15,21,22,19,16,20,22,18,22,23,20,19,22,17,25,23,23,19	25,15,16,19,19,15,25,16,19,24,25,22,16,24,23,15,17,18,23,20,15,24,25,20,21,25,24,16,25,16,15,20,23,23,21,20,23,22,18,23,17,19,23,22,24,19,16,23,15,15,22,23,17,17,20,18,22,16,23,25,18,15,24,16,22,23,15,16,24,21,25,23,24,16,16,19,19,16,20,23,17,18,16,16,19,25,24,16,21,23,15,21,19,22,25,23,19,18,16,15	5d75531e735dd7a099afa869dcef0e92cba04fc070ee89e1eb25a110f4dd1451	c20a0f7cfdda478373da6bc734a07ba7aa9e971989c8da75f407bd2dd2f3946e
